numero_emenda;exercicio;processo_sei;valor_empenhado;credor
138;2022;2300000029.003994/2022-90;0;"11434981000100 - FUNDO MUNICIPAL DE SAUDE DE OURICURI"
249;2022;2300000029.006265/2023-76;120000;"10667814000138 - FUNDACAO ALTINO VENTURA"
270;2022;2300000029.001258/2022-05;0;"11356210000133 - FUNDO MUNICIPAL DE SAUDE DO SIRINHAEM"
0367;2022;2300000029.002324/2022-56;0;"11196515000125 - FUNDO MUNICIPAL DE SAUDE DE SANTA CRUZ DO CAPIBARIBE"
369;2022;2300000029.002683/2022-11;0;"11683042000190 - UBTM - HOSPITAL E MATERNIDADE ARMINDO MOURA"
425;2022;2300000029.003144/2022-91;0;"11431858000127 - FUNDO MUNICIPAL DE SAUDE DE CARNAIBA"
438;2022;2300000029.003530/2022-83;0;"11371082000105 - FUNDO MUNICIPAL DE SAUDE DE CARUARU"
439;2022;2300000029.001870/2022-70;0;"35673300000116 - LIGA NORDESTINA DE ASSITENCIA EDUCACAO E SAUDE"
499;2022;2300000029.001933/2022-98;0;"10667814000138 - FUNDACAO ALTINO VENTURA"
0547;2022;2300000029.002988/2022-15;0;"06242368000142 - FUNDO MUNICIPAL DE SAUDE DE BREJINHO"
0579;2022;2300000029.002486/2022-94;0;"11196515000125 - FUNDO MUNICIPAL DE SAUDE DE SANTA CRUZ DO CAPIBARIBE"
603;2022;2300000029.001287/2022-69;0;"01206707000111 - ASSOCIACAO DOS PORTADORES DE DEFICIENCIA DE CARUARU"
643;2022;2300000029.003357/2022-13;0;"04712650000110 - INSTITUTO ESPERANCA DE BENEFICENCIA EM SAUDE DE PERNAMBUCO"
781;2022;2300000029.002314/2022-11;0;"41229113000140 - GESTOS SOROPOSITIVIDADE COMUNICACAO E GENERO"
52;2023;2300000029.003053/2023-37;263300;"11866365000110 - CENTRO HOSPITALAR SANTA MARIA"
71;2023;2300000029.005947/2023-61;233531.84;"09471844000195 - FUNDO MUNICIPAL DE SAUDE DE JAQUEIRA"
082;2023;2300000029.000938/2023-84;80000;"11683042000190 - UBTM - HOSPITAL E MATERNIDADE ARMINDO MOURA"
113;2023;2300000029.001654/2023-13;100000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
138;2023;2300000029.003994/2022-90;0;"11434981000100 - FUNDO MUNICIPAL DE SAUDE DE OURICURI"
173;2023;2300000029.006270/2023-89;195999.51;"10759784000190 - FUNDO MUNICIPAL DE SAUDE DE ALIANCA"
174;2023;2300000029.006593/2023-72;200000;"12397007000178 - FUNDO MUNICIPAL DE CHA DE ALEGRIA"
175;2023;2300000029.006360/2023-70;265000;"10298546000124 - FUNDO MUNICIPAL DE SAUDE DE CUSTODIA"
177;2023;2300000029.006152/2023-71;250000;"11472134000121 - FUNDO MUNICIPAL DE SAUDE DE FEIRA NOVA"
183;2023;2300000029.006092/2023-96;200000;"03061099000120 - FUNDO MUNICIPAL DE SAUDE DE SAO JOAO"
184;2023;2300000029.004426/2023-97;58131.6;"11683042000190 - UBTM - HOSPITAL E MATERNIDADE ARMINDO MOURA"
189;2023;2300000029.006328/2023-94;150000;"09218925000188 - FUNDO MUNICIPAL DE SAUDE DE EXU"
240;2023;2300000029.005619/2023-65;105000;"10869782000153 - IRMANDADE DA SANTA CASA DE MISERICORDIA DO RECIFE"
243;2023;2300000029.002549/2022-11;0;"11361854000110 - MUNICIPIO DE FREI MIGUELINHO"
270;2023;2300000029.001258/2022-05;0;"11356210000133 - FUNDO MUNICIPAL DE SAUDE DO SIRINHAEM"
275;2023;2300000029.005748/2023-53;1500000;"11209720000188 - FUNDO MUNICIPAL DE SAUDE DE AGUAS BELAS"
305;2023;2300000029.005683/2023-46;299060;"11691937000177 - CENTRO DE CAPACITACAO E FORMACAO PUBLICA - CEFOP"
315;2023;2300000029.005946/2023-17;100000;"08560938000178 - FUNDO MUNICIPAL DE SAUDE DE MORENO"
333;2023;2300000029.003646/2023-01;99893.33;"10572048002686 - SECRETARIA DE SAUDE"
335;2023;2300000029.005944/2023-28;129360;"69902112000134 - FUNDO MUNICIPAL DE SAUDE DE VERTENTE DO LERIO"
361;2023;2300000029.004051/2023-65;200000;"11292383000135 - FUNDO MUNICIPAL DE SAUDE DE SOLIDAO"
363;2023;2300000029.006401/2023-28;295205.19;"11263257000152 - FUNDO MUNICIPAL DE SAUDE DE JATOBA"
0367;2023;2300000029.002324/2022-56;0;"11196515000125 - FUNDO MUNICIPAL DE SAUDE DE SANTA CRUZ DO CAPIBARIBE"
372;2023;2300000029.005615/2023-87;600000;"02324776000192 - FUNDO MUNICIPAL DE SAUDE BELEM DE SAO FRANCISCO"
374;2023;2300000029.005650/2023-04;110000;"11266869000107 - FUNDO MUNICIPAL DE SAUDE DE INAJA"
379;2023;2300000029.005936/2023-81;200000;"09111921000104 - FUNDO MUNICIPAL DE SAUDE DE TEREZINHA"
420;2023;2300000029.003099/2022-75;0;"10785318000189 - FUNDO MUNICIPAL DE SAUDE DE SAO BENEDITO DO SUL"
427;2023;2300000029.006091/2023-41;250000;"07868234000102 - FUNDO MUNICIPAL DE SAUDE DE PAUDALHO"
438;2023;2300000029.003530/2022-83;0;"11371082000105 - FUNDO MUNICIPAL DE SAUDE DE CARUARU"
439;2023;2300000029.003874/2022-92;0;"35667229000169 - FUNDO MUNICIPAL DE SAUDE DE QUIXABA"
442;2023;2300000029.001518/2023-15;257547.26;"08677960000100 - FUNDO MUNICIPAL DE SAUDE DE TAQUARITINGA DO NORTE"
443;2023;2300000029.001654/2023-13;400000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
444;2023;2300000029.001654/2023-13;1600000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
448;2023;2300000029.005173/2023-79;98000;"20511923000115 - REDE FEMININA MUNICIPAL DE COMBATE AO CANCER DE CARPINA"
499;2023;2300000029.001933/2022-98;0;"10667814000138 - FUNDACAO ALTINO VENTURA"
501;2023;2300000029.001654/2023-13;700000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
503;2023;2300000029.001654/2023-13;1700000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
504;2023;2300000029.001654/2023-13;398300;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
513;2023;2300000029.001187/2023-13;100000;"11407543000144 - FUNDO MUNICIPAL DE SAUDE DE ITAPISSUMA"
524;2023;2300000029.003549/2023-19;100000;"11870137000113 - FUNDO MUNICIPAL DE SAUDE DE CAMOCIM DE SAO FELIX"
